Text_File,Wav_File
Alan Lloyd.txt,NONE
Albert Malin.txt,NONE
Alec Penstone.txt,NONE
Alec Pulfer.txt,NONE
Alexander Owens.txt,Alex Owens Timecode Master.wav
Buster Brown.txt,NONE
Catherine Advent.txt,NONE
Colette Cook.txt,NONE
Cornelius Snelling.txt,Cornelius Snelling TRANSCRIBE Master.wav
David Craig.txt,David Craig TRANSCRIPT.wav
Dennis Whitehead.txt,Dennis Whitehead _Transcript Master.wav
Dick West.txt,Dick West TRANSCRIPT MASTER.wav
Doug Shelley.txt,Doug Shelley TRANSCRIBE Master.wav
Eric Conway.txt,Eric Conway _TRANSCRIBE.wav
Ernest Kellaway.txt,NONE
Frances McLaren.txt,NONE
Gladys Yates.txt,Gladys Yates transcript.wav
Gordon Hooton.txt,Gordon Hooton Transcript.wav
Harry Card.txt,NONE
Irene Bellamy.txt,Irene Ballamy Transcribe MASTER.wav
Jim Dimond.txt,Jim Diamond DVD Master.wav
Joan Endersby.txt,Joan Endersby TRANSCRIPT.wav
Joan Field.txt,Joan Field Tiranscript MASTER.wav
Joe Pitcher.txt,Joe Pitcher _TRANSCRIPTION.wav
John Harrison.txt,NONE
John Roche.txt,NONE
John Woodward.txt,John Woodward master.wav
Joy Aylard Transcript.txt,Joy Aylard TRANSCRIPT.wav
Lord Alan West.txt,NONE
Megan Moir.txt,Megan Moir TRANSCRIBE.wav
Mervyn Salter.txt,NONE
Pam Torrens.txt,NONE
Patricia Davies.txt,Patrica Davies Transcript.wav
Patricia Parker.txt,Patricia Parker Timecode.wav
Rodney Newham.txt,Rodney Newham Master.wav
Stan Hoare.txt,StanHoare_Timecode_master.wav
Ted Hunt.txt,NONE
Ted Rogers.txt,Ted Rogers TRANSCRIPT MASTER.wav
Vic Ould.txt,VicOuld_TimecodeMaster.wav
William O'Brien.txt,NONE
William Sheppard.txt,NONE
